dropped_attributes,k,f1
"('cp_3.0', 'oldpeak')",5,0.7753623188405797
"('cp_3.0', 'oldpeak')",7,0.7732342007434945
"('cp_3.0', 'oldpeak')",9,0.791044776119403
"('cp_3.0', 'slope')",3,0.7703703703703705
"('cp_3.0', 'slope')",5,0.7826086956521738
"('cp_3.0', 'slope')",7,0.758893280632411
"('cp_3.0', 'slope')",9,0.7734374999999999
"('cp_4.0', 'trestbps')",3,0.7681159420289855
"('cp_4.0', 'trestbps')",5,0.7790262172284644
"('cp_4.0', 'trestbps')",7,0.75
"('cp_4.0', 'trestbps')",9,0.7669172932330827
"('cp_4.0', 'chol')",3,0.7670250896057347
"('cp_4.0', 'chol')",5,0.7675276752767527
"('cp_4.0', 'chol')",7,0.7651515151515151
"('cp_4.0', 'chol')",9,0.7567567567567568
"('cp_4.0', 'fbs')",3,0.7769784172661871
"('cp_4.0', 'fbs')",5,0.786764705882353
"('cp_4.0', 'fbs')",7,0.7803030303030303
"('cp_4.0', 'fbs')",9,0.7786259541984732
"('cp_4.0', 'restecg_0.0')",3,0.7898550724637681
"('cp_4.0', 'restecg_0.0')",5,0.7669172932330827
"('cp_4.0', 'restecg_0.0')",7,0.7384615384615384
"('cp_4.0', 'restecg_0.0')",9,0.7567567567567568
"('cp_4.0', 'restecg_1.0')",3,0.782608695652174
"('cp_4.0', 'restecg_1.0')",5,0.7761194029850746
"('cp_4.0', 'restecg_1.0')",7,0.7644787644787645
"('cp_4.0', 'restecg_1.0')",9,0.7773584905660376
"('cp_4.0', 'restecg_2.0')",3,0.7898550724637681
"('cp_4.0', 'restecg_2.0')",5,0.7669172932330827
"('cp_4.0', 'restecg_2.0')",7,0.7384615384615384
"('cp_4.0', 'restecg_2.0')",9,0.7567567567567568
"('cp_4.0', 'thalach')",3,0.7813620071684588
"('cp_4.0', 'thalach')",5,0.7761194029850746
"('cp_4.0', 'thalach')",7,0.7849056603773585
"('cp_4.0', 'thalach')",9,0.7651515151515151
"('cp_4.0', 'exang')",3,0.781021897810219
"('cp_4.0', 'exang')",5,0.7727272727272726
"('cp_4.0', 'exang')",7,0.7622641509433962
"('cp_4.0', 'exang')",9,0.7698113207547169
"('cp_4.0', 'oldpeak')",3,0.7725631768953068
"('cp_4.0', 'oldpeak')",5,0.770909090909091
"('cp_4.0', 'oldpeak')",7,0.7664233576642335
"('cp_4.0', 'oldpeak')",9,0.7777777777777777
"('cp_4.0', 'slope')",3,0.7472527472527472
"('cp_4.0', 'slope')",5,0.7832699619771863
"('cp_4.0', 'slope')",7,0.7674418604651163
"('cp_4.0', 'slope')",9,0.7680608365019012
"('trestbps', 'chol')",3,0.781021897810219
"('trestbps', 'chol')",5,0.7835820895522388
"('trestbps', 'chol')",7,0.7633587786259541
"('trestbps', 'chol')",9,0.7846153846153846
"('trestbps', 'fbs')",3,0.781021897810219
"('trestbps', 'fbs')",5,0.7744360902255638
"('trestbps', 'fbs')",7,0.7924528301886793
"('trestbps', 'fbs')",9,0.7803030303030303
"('trestbps', 'restecg_0.0')",3,0.781021897810219
"('trestbps', 'restecg_0.0')",5,0.7894736842105262
"('trestbps', 'restecg_0.0')",7,0.7938931297709925
"('trestbps', 'restecg_0.0')",9,0.790874524714829
"('trestbps', 'restecg_1.0')",3,0.7664233576642335
"('trestbps', 'restecg_1.0')",5,0.7878787878787878
"('trestbps', 'restecg_1.0')",7,0.7739463601532568
"('trestbps', 'restecg_1.0')",9,0.7849056603773585
"('trestbps', 'restecg_2.0')",3,0.781021897810219
"('trestbps', 'restecg_2.0')",5,0.7894736842105262
"('trestbps', 'restecg_2.0')",7,0.7938931297709925
"('trestbps', 'restecg_2.0')",9,0.790874524714829
"('trestbps', 'thalach')",3,0.7838827838827838
"('trestbps', 'thalach')",5,0.7894736842105262
"('trestbps', 'thalach')",7,0.7878787878787878
"('trestbps', 'thalach')",9,0.7954545454545454
"('trestbps', 'exang')",3,0.761904761904762
"('trestbps', 'exang')",5,0.7803030303030303
"('trestbps', 'exang')",7,0.7894736842105262
"('trestbps', 'exang')",9,0.7773584905660376
"('trestbps', 'oldpeak')",3,0.7670250896057347
"('trestbps', 'oldpeak')",5,0.7941176470588235
"('trestbps', 'oldpeak')",7,0.7925925925925925
"('trestbps', 'oldpeak')",9,0.791044776119403
"('trestbps', 'slope')",3,0.7761194029850746
"('trestbps', 'slope')",5,0.8091603053435114
"('trestbps', 'slope')",7,0.8108108108108109
"('trestbps', 'slope')",9,0.7862595419847328
"('chol', 'fbs')",3,0.7985865724381627
"('chol', 'fbs')",5,0.7851851851851852
"('chol', 'fbs')",7,0.7803030303030303
"('chol', 'fbs')",9,0.7862595419847328
"('chol', 'restecg_0.0')",3,0.797153024911032
"('chol', 'restecg_0.0')",5,0.8
"('chol', 'restecg_0.0')",7,0.7586206896551724
"('chol', 'restecg_0.0')",9,0.7816091954022988
"('chol', 'restecg_1.0')",3,0.7943262411347518
"('chol', 'restecg_1.0')",5,0.7851851851851852
"('chol', 'restecg_1.0')",7,0.7680608365019012
"('chol', 'restecg_1.0')",9,0.7769230769230769
"('chol', 'restecg_2.0')",3,0.797153024911032
"('chol', 'restecg_2.0')",5,0.8
"('chol', 'restecg_2.0')",7,0.7615384615384615
"('chol', 'restecg_2.0')",9,0.7816091954022988
"('chol', 'thalach')",3,0.8210526315789473
"('chol', 'thalach')",5,0.8044280442804429
"('chol', 'thalach')",7,0.8148148148148148
"('chol', 'thalach')",9,0.7894736842105262
"('chol', 'exang')",3,0.790035587188612
"('chol', 'exang')",5,0.7669172932330827
"('chol', 'exang')",7,0.7669172932330827
"('chol', 'exang')",9,0.7567567567567568
"('chol', 'oldpeak')",3,0.8014184397163121
"('chol', 'oldpeak')",5,0.7941176470588235
"('chol', 'oldpeak')",7,0.7720588235294118
"('chol', 'oldpeak')",9,0.786764705882353
"('chol', 'slope')",3,0.7835820895522388
"('chol', 'slope')",5,0.7846153846153846
"('chol', 'slope')",7,0.7769230769230769
"('chol', 'slope')",9,0.7626459143968871
"('fbs', 'restecg_0.0')",3,0.7785714285714286
"('fbs', 'restecg_0.0')",5,0.7894736842105262
"('fbs', 'restecg_0.0')",7,0.7769230769230769
"('fbs', 'restecg_0.0')",9,0.7878787878787878
"('fbs', 'restecg_1.0')",3,0.7872340425531915
"('fbs', 'restecg_1.0')",5,0.7970479704797049
"('fbs', 'restecg_1.0')",7,0.790874524714829
"('fbs', 'restecg_1.0')",9,0.7751937984496123
"('fbs', 'restecg_2.0')",3,0.7785714285714286
"('fbs', 'restecg_2.0')",5,0.7894736842105262
"('fbs', 'restecg_2.0')",7,0.7769230769230769
"('fbs', 'restecg_2.0')",9,0.7878787878787878
"('fbs', 'thalach')",3,0.7928571428571429
"('fbs', 'thalach')",5,0.791044776119403
"('fbs', 'thalach')",7,0.7862595419847328
"('fbs', 'thalach')",9,0.7769230769230769
"('fbs', 'exang')",3,0.7730496453900709
"('fbs', 'exang')",5,0.7806691449814126
"('fbs', 'exang')",7,0.7722007722007722
"('fbs', 'exang')",9,0.7651515151515151
"('fbs', 'oldpeak')",3,0.7758007117437722
"('fbs', 'oldpeak')",5,0.7822878228782288
"('fbs', 'oldpeak')",7,0.7777777777777777
"('fbs', 'oldpeak')",9,0.7822878228782288
"('fbs', 'slope')",3,0.7749077490774907
"('fbs', 'slope')",5,0.7803030303030303
"('fbs', 'slope')",7,0.7803030303030303
"('fbs', 'slope')",9,0.789272030651341
"('restecg_0.0', 'restecg_1.0')",3,0.7797833935018053
"('restecg_0.0', 'restecg_1.0')",5,0.8045112781954887
"('restecg_0.0', 'restecg_1.0')",7,0.7846153846153846
"('restecg_0.0', 'restecg_1.0')",9,0.7633587786259541
"('restecg_0.0', 'restecg_2.0')",3,0.8043478260869567
"('restecg_0.0', 'restecg_2.0')",5,0.8045112781954887
"('restecg_0.0', 'restecg_2.0')",7,0.7829457364341086
"('restecg_0.0', 'restecg_2.0')",9,0.7626459143968871
"('restecg_0.0', 'thalach')",3,0.7928571428571429
"('restecg_0.0', 'thalach')",5,0.7849056603773585
"('restecg_0.0', 'thalach')",7,0.7615384615384615
"('restecg_0.0', 'thalach')",9,0.7849056603773585
"('restecg_0.0', 'exang')",3,0.7720588235294118
"('restecg_0.0', 'exang')",5,0.7722007722007722
"('restecg_0.0', 'exang')",7,0.7786259541984732
"('restecg_0.0', 'exang')",9,0.7739463601532568
"('restecg_0.0', 'oldpeak')",3,0.7857142857142857
"('restecg_0.0', 'oldpeak')",5,0.7985347985347985
"('restecg_0.0', 'oldpeak')",7,0.781021897810219
"('restecg_0.0', 'oldpeak')",9,0.7703703703703705
"('restecg_0.0', 'slope')",3,0.7720588235294118
"('restecg_0.0', 'slope')",5,0.7938931297709925
"('restecg_0.0', 'slope')",7,0.7954545454545454
"('restecg_0.0', 'slope')",9,0.7937743190661479
"('restecg_1.0', 'restecg_2.0')",3,0.7797833935018053
"('restecg_1.0', 'restecg_2.0')",5,0.8045112781954887
"('restecg_1.0', 'restecg_2.0')",7,0.7876447876447877
"('restecg_1.0', 'restecg_2.0')",9,0.7633587786259541
"('restecg_1.0', 'thalach')",3,0.7999999999999999
"('restecg_1.0', 'thalach')",5,0.8059701492537313
"('restecg_1.0', 'thalach')",7,0.8045112781954887
"('restecg_1.0', 'thalach')",9,0.7862595419847328
"('restecg_1.0', 'exang')",3,0.7714285714285715
"('restecg_1.0', 'exang')",5,0.7751937984496123
"('restecg_1.0', 'exang')",7,0.7680608365019012
"('restecg_1.0', 'exang')",9,0.7744360902255638
"('restecg_1.0', 'oldpeak')",3,0.7746478873239436
"('restecg_1.0', 'oldpeak')",5,0.781021897810219
"('restecg_1.0', 'oldpeak')",7,0.7749077490774907
"('restecg_1.0', 'oldpeak')",9,0.7927272727272728
"('restecg_1.0', 'slope')",3,0.761904761904762
"('restecg_1.0', 'slope')",5,0.7846153846153846
"('restecg_1.0', 'slope')",7,0.7862595419847328
"('restecg_1.0', 'slope')",9,0.77992277992278
"('restecg_2.0', 'thalach')",3,0.7928571428571429
"('restecg_2.0', 'thalach')",5,0.7849056603773585
"('restecg_2.0', 'thalach')",7,0.7615384615384615
"('restecg_2.0', 'thalach')",9,0.7849056603773585
"('restecg_2.0', 'exang')",3,0.7720588235294118
"('restecg_2.0', 'exang')",5,0.7722007722007722
"('restecg_2.0', 'exang')",7,0.7786259541984732
"('restecg_2.0', 'exang')",9,0.7739463601532568
"('restecg_2.0', 'oldpeak')",3,0.7857142857142857
